Year,Total Customer,New Customer,Active Rate,Funding Rate,ARPU,Direct Cost,Mambu Fee above 500k active,Mambu Fee above Mambu active,Churn Rate,Funded CAC
2021,278577,160834,40.9671293753612%,0.222888195282092,8.26241755920137,10.1146373077152,0,0,0.127425391135964,28.5721309734428
2022,548970,270685,35.1647631018088%,0.299691523357408,7.65273650386609,8.88554685744684,0,0,0.103993558800236,27.2016172178806
2023,689462,140462,32.4055567964587%,0.432465720265979,11.3058674892389,7.87892879610975,0,0,0.141957836687654,12.1743378405688
2024,1089462,400000,32.4055567964587%,0.536861089792786,17.5806571534678,9.49745954432837,0.35,0.3,0.0633357858306264,10.3774013316322
2025,1489462,400000,32.4055567964587%,0.536861089792786,43.1763832828604,16.426791635449,0.35,0.3,0.05369855429609,10.3774013316322
2026,1989462,500000,32.4055567964587%,0.536861089792786,60.488818049755,21.4706559596972,0.35,0.3,0.0494060062079153,10.3773610789387
2027,2589462,600000,32.4055567964587%,0.536861089792786,66.0935657273788,22.4311813529648,0.35,0.3,0.0483838519769506,10.3774684194546
2028,3289462,700000,32.4055567964587%,0.536861089792786,69.1354164675508,22.5008713494662,0.35,0.3,0.0484915604492106,10.3774300835561
